RV32ZCD,Zcd Code Size Reduction extension for previous double precision FP loads/stores,1.0.0
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverage,Pass/Fail Criteria,Test Type,Coverage Method
RV32ZCD,Zcd,c.fld,,c_fld_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fdp,FD (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1p,RS1 (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_imm_sign,Immediate value sign,Check against Reference Model,Constrained-Random,Functional Coverage
RV32ZCD,Zcd,c.fldsp,,c_fldsp_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fdp,FD (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1p,RS1 (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_imm_sign,Immediate value sign,Check against Reference Model,Constrained-Random,Functional Coverage
RV32ZCD,Zcd,c.fsd,,c_fsd_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs2p,FS2 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1p,RS1 (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_imm_sign,Immediate value sign,Check against Reference Model,Constrained-Random,Functional Coverage
RV32ZCD,Zcd,c.fsdsp,,c_fsdsp_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs2p,FS2 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1p,RS1 (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_imm_sign,Immediate value sign,Check against Reference Model,Constrained-Random,Functional Coverage
